YEAR,STRAT,PROT,strata_richness,strata_simpson,strata_shannon
1999,CONT_HR,0,0,Inf,1.0
1999,CONT_HR,0,17,16.999999999999996,17.0
1999,CONT_HR,0,3,3.000000000000001,2.9999999999999996
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,4,4.0,4.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,9,7.117647058823531,8.152085136711108
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,2,2.0,2.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,2,1.3580901856763925,1.5424913566151934
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,0,1,1.0,1.0
1999,CONT_HR,1,0,Inf,1.0
1999,CONT_HR,1,19,19.00000000000002,19.000000000000004
1999,CONT_HR,1,5,4.999999999999998,5.000000000000001
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,7,7.0000000000000036,6.999999999999999
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,3,2.9999999999999996,2.9999999999999996
1999,CONT_HR,1,3,3.000000000000001,2.9999999999999996
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,2,2.0,2.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
1999,CONT_HR,1,1,1.0,1.0
