YEAR,STRAT,protected_status,strata_richness,strata_simpson,strata_shannon
1999,FMLR,0,0,Inf,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,3,3.000000000000001,2.9999999999999996
1999,FMLR,0,2,2.0,2.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,8,8.0,7.999999999999998
1999,FMLR,0,4,4.0,4.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,2,2.0,2.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,2,2.0,2.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,5,4.999999999999998,5.000000000000001
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FMLR,0,1,1.0,1.0
1999,FSLR,0,0,Inf,1.0
