YEAR,PRIMARY_SAMPLE_UNIT,psu_richness,psu_simpson,psu_shannon
1999,508U,49,5.342294208858625,11.375035476204483
1999,509U,56,7.676482322320801,12.6702631675136
1999,510U,53,5.165694362939696,10.269491969824804
1999,512U,46,1.7930793522584243,3.1665397882210566
1999,307U,49,3.319843176931833,7.588558598188891
1999,310U,45,6.049018838646684,11.910041606181666
1999,314U,62,2.8730729345556214,7.091940778804176
1999,324U,46,3.4527709738068775,5.833962228509482
1999,326U,41,2.3811439883039416,5.731663996200223
1999,327U,52,1.9809939045884706,3.0158570391558235
1999,328U,45,5.499124138736424,11.69467734595893
1999,330U,55,2.5668036447594287,5.295819222651195
1999,332U,40,2.04852822484292,3.72990339070231
1999,335U,32,3.1588156089545336,7.452961301660506
1999,336U,49,3.545712976449219,9.390831011146558
1999,339U,47,2.5314349080250027,3.6702706470393163
1999,341U,39,3.818544839430243,7.02432278141569
1999,342U,48,5.556615172675901,13.655037990413016
1999,343U,44,2.283709949584489,4.668209456227732
1999,344U,42,2.63174733984536,5.9159352762449
1999,345U,43,2.366314171609364,5.331721932836215
1999,346U,34,1.990937233612993,4.012489138944671
1999,347U,48,1.9652476203736244,4.2633331193767345
1999,348U,36,1.8921750096617374,4.167474375111142
1999,389U,40,1.4848643573328686,2.344070779326217
1999,390U,52,2.500728649064394,5.420077452510511
1999,391U,45,6.318026416297714,10.903251014616101
1999,511U,47,2.2172553744705326,3.566823808870706
1999,519U,49,7.507967639127241,14.119759082464311
1999,521U,36,2.7182801056540127,5.673425046655844
1999,522U,39,7.253261402648355,13.5782393867703
1999,526U,50,5.634322522992142,10.47976458517621
1999,374U,51,3.6001617260150365,7.281335717416915
1999,376U,39,2.2952670035684277,5.610880070622034
1999,377U,59,2.7956025430763427,7.950690711555606
1999,380U,41,6.682985361171108,12.790559936417878
1999,421U,40,3.8431698852398206,7.405248739832575
1999,306U,51,12.63765094705293,21.70844090468449
1999,355U,37,6.290754113886586,12.383344312690335
1999,357U,28,11.447302608074319,16.2211315693854
1999,359U,51,5.372496342277459,11.207388819929177
1999,361U,41,6.949728548262004,14.171712098175071
1999,363U,34,8.28837102514063,13.784033765272397
1999,364U,38,11.136629878537523,17.0311730010149
1999,365U,48,9.409684158146668,16.758815140058356
1999,366U,36,10.538037719855899,16.910073186052994
1999,368U,40,9.26288026269118,15.940922942028783
1999,370U,43,12.057506639199817,19.039859218866912
1999,302U,43,10.714066543510336,16.94741993122803
1999,308U,34,2.7377566256065693,5.817965709799499
1999,311U,49,10.362447343012406,17.623656839030296
1999,312U,37,6.3878119310270955,13.921278117815035
1999,313U,40,9.99442173246971,18.28498532703428
1999,321U,50,9.325953690483553,17.334917502007535
1999,322U,28,7.437652811735942,14.358111321849792
1999,325U,50,12.101294816673704,20.691188303136883
1999,329U,42,3.5923924919912396,6.218885202141954
1999,334U,46,7.866565892538131,14.853790363020549
1999,350U,47,14.112180635912134,20.876511282387675
1999,387U,45,7.491455003172396,13.40523086065981
1999,388U,34,7.545128325142366,13.38852395531209
1999,516U,35,12.211131924012065,18.996240802970043
1999,517U,46,2.3315698324430576,4.92389851106111
1999,520H,36,10.327427228349306,16.50409935669304
1999,378U,30,2.029411281894141,4.54390013917228
1999,382U,38,9.808757734412188,17.16971222919889
1999,383U,45,6.459696627804939,12.419469235659673
1999,385U,37,9.32530913880149,15.597288301808858
1999,393U,36,8.022277252609227,13.254118580586601
1999,394U,37,14.4133949191686,20.177682218291974
1999,401U,21,5.369074211963268,7.782069609568104
1999,409U,36,8.351171364014748,14.13497066591471
1999,418U,43,2.143897461467739,5.050396647512311
