REGION,YEAR,PROT,STRAT,NTOT,GRID_SIZE
FLA KEYS,2007,1,INPR,35,200
FLA KEYS,2007,1,MCPR,87,200
FLA KEYS,2007,1,OFPR,82,200
FLA KEYS,2008,0,FDLR,2372,200
FLA KEYS,2008,0,FMLR,6452,200
FLA KEYS,2008,0,FSLR,871,200
FLA KEYS,2008,0,HRRF,249,200
FLA KEYS,2008,0,INPR,385,200
FLA KEYS,2008,0,MCPR,3711,200
FLA KEYS,2008,0,OFPR,2105,200
FLA KEYS,2008,1,FMLR,315,200
FLA KEYS,2008,1,FSLR,82,200
FLA KEYS,2008,1,HRRF,147,200
FLA KEYS,2008,1,INPR,35,200
FLA KEYS,2008,1,MCPR,87,200
FLA KEYS,2008,1,OFPR,82,200
FLA KEYS,2009,0,FDLR,2372,200
FLA KEYS,2009,0,FMLR,6452,200
FLA KEYS,2009,0,FSLR,871,200
FLA KEYS,2009,0,HRRF,249,200
FLA KEYS,2009,0,INPR,385,200
FLA KEYS,2009,0,MCPR,3711,200
FLA KEYS,2009,0,OFPR,2105,200
FLA KEYS,2009,1,FMLR,315,200
FLA KEYS,2009,1,FSLR,82,200
FLA KEYS,2009,1,HRRF,147,200
FLA KEYS,2009,1,INPR,35,200
FLA KEYS,2009,1,MCPR,87,200
FLA KEYS,2009,1,OFPR,82,200
FLA KEYS,2010,0,FDLR,2372,200
FLA KEYS,2010,0,FMLR,6452,200
FLA KEYS,2010,0,FSLR,871,200
FLA KEYS,2010,0,HRRF,249,200
FLA KEYS,2010,0,INPR,385,200
FLA KEYS,2010,0,MCPR,3711,200
FLA KEYS,2010,0,OFPR,2105,200
FLA KEYS,2010,1,FMLR,315,200
FLA KEYS,2010,1,FSLR,82,200
FLA KEYS,2010,1,HRRF,147,200
FLA KEYS,2010,1,INPR,35,200
FLA KEYS,2010,1,MCPR,87,200
FLA KEYS,2010,1,OFPR,82,200
FLA KEYS,2011,0,FDLR,2372,200
FLA KEYS,2011,0,FMLR,6452,200
FLA KEYS,2011,0,FSLR,871,200
FLA KEYS,2011,0,HRRF,249,200
FLA KEYS,2011,0,INPR,385,200
FLA KEYS,2011,0,MCPR,3711,200
FLA KEYS,2011,0,OFPR,2105,200
FLA KEYS,2011,1,FMLR,315,200
FLA KEYS,2011,1,FSLR,82,200
FLA KEYS,2011,1,HRRF,147,200
FLA KEYS,2011,1,INPR,35,200
FLA KEYS,2011,1,MCPR,87,200
FLA KEYS,2011,1,OFPR,82,200
FLA KEYS,2012,0,FDLR,2372,200
FLA KEYS,2012,0,FMLR,6452,200
FLA KEYS,2012,0,FSLR,871,200
FLA KEYS,2012,0,HRRF,249,200
FLA KEYS,2012,0,INPR,385,200
FLA KEYS,2012,0,MCPR,3711,200
FLA KEYS,2012,0,OFPR,2105,200
FLA KEYS,2012,1,FMLR,315,200
FLA KEYS,2012,1,FSLR,82,200
FLA KEYS,2012,1,HRRF,147,200
FLA KEYS,2012,1,INPR,35,200
FLA KEYS,2012,1,MCPR,87,200
FLA KEYS,2012,1,OFPR,82,200
FLA KEYS,2014,0,FDLR,9487,100
FLA KEYS,2014,0,FMLR,25808,100
FLA KEYS,2014,0,FSLR,3482,100
FLA KEYS,2014,0,HRRF,997,100
FLA KEYS,2014,0,INPR,1538,100
FLA KEYS,2014,0,MCPR,14842,100
FLA KEYS,2014,0,OFPR,8420,100
FLA KEYS,2014,1,FMLR,1258,100
FLA KEYS,2014,1,FSLR,326,100
FLA KEYS,2014,1,HRRF,587,100
FLA KEYS,2014,1,INPR,141,100
FLA KEYS,2014,1,MCPR,347,100
FLA KEYS,2014,1,OFPR,329,100
