.,,
SER RIVO,,
SER SUBL,,
SER TABA,,
SER TIGR,,
SER TORT,,
SPA ATOM,,
SPA AURO,,
SPA CHRY,,
SPA RADI,,
SPA RUBR,,
SPA VIRI,,
SPH BARR,,
SPH GUAC,,
SPH LEWI,,
SPH MOKA,,
SPH PICU,,
SPH SPEN,,
SPH TEST,,
SPH TIBU,,
STE ADUS,,
STE DIEN,,
STE HISP,,
STE LEUC,,
STE PART,,
STE PLAN,,
STE VARI,,
STR NOTA,,
STR TIMU,,
SYN FOET,,
SYN INTE,,
SYN SYNO,,
THA BIFA,,
TRA FALC,,
TYL CROC,,
URO JAMA,,
XYR MART,,
XYR NOVA,,
XYR SPLE,,
