YEAR,STRAT,richness_mean,richness_n,richness_sd,richness_se,richness_min,richness_max,simpson_mean,simpson_n,simpson_sd,simpson_se,simpson_min,simpson_max,shannon_mean,shannon_n,shannon_sd,shannon_se,shannon_min,shannon_max
1999,FMLR,37.88732394366197,71,8.403314474955103,0.9972899486911626,18,65,8.294437205791228,71,2.834564142715982,0.33640087335493113,2.0351514070156163,15.246567164179098,14.010370294054038,71,3.6643994440079437,0.4348842048444381,4.150865409350343,23.514350949270984
1999,FSLR,40.714285714285715,14,10.268911794856818,2.744482119382576,31,67,9.563576342650578,14,3.7964533158847433,1.0146448280658982,3.7533508295060445,16.9115835678094,15.107481447145537,14,4.360239675966901,1.1653230708347408,8.147884688758046,24.133486352432907
1999,HRRF,45.69230769230769,39,10.85588330948476,1.738332552271254,12,67,8.828782660204919,39,3.155268106388993,0.5052472566361427,3.2521028206112517,15.528169014084494,15.355102240392103,39,4.6471999439847504,0.7441475473933824,7.069211835599437,25.288797818385532
1999,INPR,33.75,8,8.137216091163225,2.8769403390209036,17,44,7.542925911678438,8,3.208572431009359,1.1344016619474617,3.7094878253568417,11.789658282393018,12.516806848078186,8,4.112527846573697,1.4539981640653854,6.74003797960584,17.466433532163723
1999,MCPR,36.714285714285715,21,8.204528366352676,1.7903748704868343,19,50,8.632824327440387,21,3.3954548650188396,0.7409489970359475,1.441642789971238,13.994110718492339,14.324222654470258,21,5.0862221679337605,1.1099046707580407,2.3608920275684984,21.806658455659143
1999,OFPR,41.75,8,7.592289321598403,2.6842796320162217,30,53,11.095263121331467,8,4.864502250010917,1.7198612640399686,6.001601595678137,21.782558729911756,18.67314287380742,8,5.661570926373605,2.00166759710369,12.133760118941,30.14900256045722
2000,FMLR,39.22680412371134,97,7.5394865467295675,0.765518875229838,18,55,8.309390039936092,97,3.0707529887405,0.3117877271190266,2.222841545534938,17.492847369075754,13.792887163718552,97,4.070037716773446,0.41324971876751093,4.370425507855514,25.151578713923108
2000,FSLR,31.703703703703702,27,11.785959100083112,2.2682088863636345,15,54,8.260525710970043,27,2.3153975846727284,0.445598472930603,2.7824755359677305,13.003673094582187,12.89272913744063,27,3.7040992051731307,0.7128542244039286,5.140258014106232,20.49087368677658
2000,HRRF,48.5609756097561,41,6.115753348884358,0.9551202072781109,34,60,9.466376997754312,41,2.8192294392406922,0.4402896671533243,4.403693101006494,15.246955730529779,16.07208551341327,41,3.3524807547683286,0.5235695311313233,8.590735323088193,21.36067359894617
2000,INPR,23.11764705882353,17,8.608733595462638,2.087924583346809,11,38,6.772837628032683,17,2.5892888290892477,0.6279947845627555,2.989490488226686,11.772045162212383,10.323017269601296,17,3.5004417770781626,0.8489818343069443,4.798290197190489,16.3953161369013
2000,MCPR,36.53333333333333,30,6.796212603143494,1.2408129827808656,21,55,8.310274245128571,30,3.3373290415519263,0.6093101326250286,2.0508623293681043,17.33204239021376,13.82860708490708,30,4.370018631215217,0.7978525936781413,4.720242740512102,25.02617874825559
2000,OFPR,41.6875,16,8.014310117949433,2.0035775294873583,26,53,11.301343076111943,16,4.190038737700385,1.0475096844250962,4.203578252562098,22.016778523489958,17.529892870035408,16,5.056766638088328,1.264191659522082,8.393058002307093,28.70962808651262
2001,FDLR,43.642857142857146,14,10.796061552943511,2.88536881840266,17,59,3.947465407611957,14,2.04939826780704,0.5477247262272809,1.7017418233224941,8.831054106854666,7.4336821708900125,14,3.008598436077779,0.804081754441925,3.3510676912133084,13.604213600415546
2001,FMLR,38.616279069767444,86,7.99877726633877,0.8625303348659277,13,53,6.615442950975499,86,3.203367465379038,0.34542799738149116,1.0549677768306094,15.45774121166791,11.264342221743167,86,4.554642136762107,0.4911396925562924,1.2208160083300479,22.305672440849754
2001,FSLR,37.95454545454545,44,11.814367574438014,1.7810829263523689,8,58,7.767039370313238,44,3.367016546678211,0.5075968431022629,1.6130829518851293,15.463466290151782,12.496334348838316,44,4.939816229206518,0.7447053166175578,3.1842716780919478,22.629427809912574
2001,HRRF,49.4,80,9.031029491197893,1.0096997924561912,25,67,9.409722580334476,80,3.6873165135967807,0.4122545189479964,1.0249680537183123,18.101032597691855,15.569615644510897,80,5.140640036472482,0.5747410284704734,1.1070669074907136,27.19308980809961
2001,INPR,29.25,12,9.891456368549026,2.8554174985296092,8,38,6.373971821139367,12,3.146137434987461,0.9082116474987848,2.5295832877725184,12.632845993184572,10.002739372547554,12,3.9245850464501206,1.1329301165127785,4.793327799715964,17.158027851423007
2001,MCPR,34.425925925925924,54,7.484832088339454,1.0185566348245492,17,54,8.028668837332281,54,3.817294380213837,0.5194679683065367,1.5717629168498215,15.51837569843394,12.728529665700695,54,5.013454063998942,0.6822446836488915,2.6774029827948045,22.415252053001247
2001,OFPR,40.666666666666664,15,9.301817538729166,2.4017189611305416,26,57,8.873534737351882,15,3.7264545858047318,0.9621664367479988,2.4852776859764254,14.994717147259518,14.513768270880014,15,4.748965086034792,1.2261775126622148,5.378162892911843,21.48163442907301
2002,FDLR,38.666666666666664,18,8.574929257125442,2.0211302086361083,14,52,8.136529082137592,18,3.5653015869505316,0.8403496430359602,1.54269979830929,13.116780452748822,13.897821578541361,18,5.345584680131698,1.2599663922426818,2.76201991069007,22.638908513073154
2002,FMLR,36.43016759776536,179,9.586940173061764,0.716561551745968,14,56,7.499823320383326,179,2.8512020477656996,0.21310884670262653,1.4624451653242412,15.720930232558128,12.783413057885694,179,4.045074578801398,0.3023430692994921,2.5056017599106437,24.02471344932365
