Abundance,,,,,Simpson ,,,
Comparison,Z,P.unadj,P.adj,,Comparison,Z,P.unadj,P.adj
FMLR - HRRF,-2.60E+00,9.26E-03,5.56E-02,,INPR - OFPR,-2.92E+00,3.47E-03,1.73E-02
FSLR - OFPR,-2.83E+00,4.58E-03,3.21E-02,,FDLR - OFPR,4.36E+00,1.29E-05,9.01E-05
HRRF - MCPR,-2.90E+00,3.70E-03,2.96E-02,,HRRF - OFPR,4.89E+00,1.02E-06,9.18E-06
FSLR - HRRF,3.00E+00,2.66E-03,2.40E-02,,INPR - MCPR,-4.87E+00,1.13E-06,9.06E-06
MCPR - OFPR,-3.09E+00,1.99E-03,1.99E-02,,FDLR - INPR,6.31E+00,2.83E-10,2.83E-09
INPR - OFPR,-4.39E+00,1.15E-05,1.26E-04,,FSLR - INPR,-6.74E+00,1.61E-11,1.77E-10
HRRF - OFPR,-5.56E+00,2.69E-08,3.23E-07,,HRRF - INPR,6.76E+00,1.41E-11,1.70E-10
FMLR - FSLR,-6.15E+00,7.93E-10,1.03E-08,,FMLR - OFPR,-7.13E+00,1.01E-12,1.32E-11
FMLR - MCPR,-6.21E+00,5.42E-10,7.59E-09,,FMLR - FSLR,9.32E+00,1.18E-20,1.65E-19
FDLR - INPR,-8.10E+00,5.32E-16,7.98E-15,,FMLR - MCPR,-1.19E+01,8.22E-33,1.23E-31
FMLR - OFPR,-8.59E+00,8.96E-18,1.43E-16,,FDLR - FMLR,1.21E+01,7.35E-34,1.18E-32
FDLR - FMLR,-1.13E+01,8.81E-30,1.50E-28,,FSLR - OFPR,-1.30E+01,6.84E-39,1.16E-37
FDLR - HRRF,-1.18E+01,2.84E-32,5.11E-31,,FMLR - HRRF,-1.51E+01,1.65E-51,2.98E-50
FDLR - FSLR,-1.43E+01,3.96E-46,7.53E-45,,FDLR - FSLR,1.72E+01,2.58E-66,4.89E-65
FDLR - MCPR,-1.44E+01,3.18E-47,6.36E-46,,FSLR - MCPR,-1.76E+01,1.88E-69,3.76E-68
FDLR - OFPR,-1.57E+01,3.09E-55,6.49E-54,,FSLR - HRRF,-2.02E+01,2.52E-90,5.30E-89
,,,,,,,,
Richness ,,,,,,,,
Comparison,Z,P.unadj,P.adj,,,,,
FMLR - OFPR,-3.57E-01,7.21E-01,7.21E-01,,,,,
FSLR - INPR,2.25E+00,2.47E-02,4.95E-02,,,,,
FDLR - HRRF,-4.42E+00,9.94E-06,2.98E-05,,,,,
FSLR - MCPR,-4.52E+00,6.24E-06,2.50E-05,,,,,
INPR - MCPR,-5.28E+00,1.29E-07,6.43E-07,,,,,
MCPR - OFPR,-6.39E+00,1.68E-10,1.01E-09,,,,,
FMLR - MCPR,8.38E+00,5.29E-17,3.70E-16,,,,,
FDLR - OFPR,8.83E+00,1.08E-18,8.67E-18,,,,,
INPR - OFPR,-9.39E+00,6.03E-21,5.43E-20,,,,,
FSLR - OFPR,-1.02E+01,3.20E-24,3.20E-23,,,,,
FMLR - INPR,1.05E+01,1.45E-25,1.60E-24,,,,,
FDLR - FMLR,1.13E+01,1.50E-29,1.80E-28,,,,,
FMLR - FSLR,1.33E+01,2.92E-40,3.80E-39,,,,,
HRRF - OFPR,1.47E+01,3.56E-49,4.99E-48,,,,,
FDLR - MCPR,1.59E+01,6.89E-57,1.03E-55,,,,,
FDLR - INPR,1.62E+01,9.93E-59,1.59E-57,,,,,
FDLR - FSLR,1.93E+01,8.48E-83,1.44E-81,,,,,
FMLR - HRRF,-2.05E+01,2.71E-93,4.89E-92,,,,,
HRRF - INPR,2.10E+01,9.15E-98,1.74E-96,,,,,
HRRF - MCPR,2.43E+01,6.15E-130,1.23E-128,,,,,
FSLR - HRRF,-2.79E+01,4.68E-171,9.83E-170,,,,,
