YEAR,STRAT,abundance_mean,biomass_mean,evenness_mean,richness_mean,simpson_mean,shannon_mean,func.div_mean
1999,HRRF,430.40841025641026,16.408303734892147,0.5595820599860244,45.69230769230769,8.828782660204919,15.355102240392103,2.6102689476061625
1999,FSLR,360.72207142857144,10.427977155101035,0.5917482761102472,40.714285714285715,9.563576342650578,15.107481447145537,2.595660382804497
1999,FMLR,331.64418309859155,5.933824030195607,0.5694013981432549,37.88732394366197,8.294437205791228,14.010370294054038,2.3308045694192923
1999,OFPR,239.125375,6.810964302099548,0.6290913400201121,41.75,11.095263121331467,18.67314287380742,3.0122973920224148
1999,INPR,225.4375,10.156725440206616,0.5532117597832485,33.75,7.542925911678438,12.516806848078186,2.7191199537872
1999,MCPR,222.83366666666666,7.025240875502731,0.572438718358208,36.714285714285715,8.632824327440387,14.324222654470258,2.5818752896205317
2000,HRRF,460.2777804878049,27.553806220266328,0.5682305843874376,48.5609756097561,9.466376997754312,16.07208551341327,2.730937651083676
2000,OFPR,405.50025,13.00661401704951,0.6342937306296624,41.6875,11.301343076111943,17.529892870035408,2.7192071258357493
2000,FMLR,355.0672371134021,11.510850874308334,0.5606329077093866,39.22680412371134,8.309390039936092,13.792887163718552,2.51580778677481
2000,MCPR,295.7151333333333,9.695330099154873,0.5655313868685501,36.53333333333333,8.310274245128571,13.82860708490708,2.7142948894208483
2000,FSLR,283.8706666666667,9.428487677450969,0.610849976014812,31.703703703703702,8.260525710970043,12.89272913744063,2.3795962955261154
2000,INPR,171.91176470588235,5.556263833261726,0.598400716843838,23.11764705882353,6.772837628032683,10.323017269601296,2.685640856999139
2001,HRRF,914.9402278481012,58.17761596892396,0.5556644366196791,49.265822784810126,9.51585871358278,15.752685881688368,2.6795357399764805
2001,FDLR,646.4643571428571,26.38110362477513,0.3424980570419333,43.642857142857146,3.947465407611957,7.4336821708900125,2.526092414797006
2001,FSLR,628.2387727272727,14.129195252308257,0.5432671876032994,37.95454545454545,7.767039370313238,12.496334348838316,2.2237566498136143
2001,FMLR,552.2676511627907,20.335573836813648,0.4863393859974796,38.616279069767444,6.615442950975499,11.264342221743167,2.370867728697403
2001,OFPR,486.86693333333335,11.959729592104924,0.5657274514237716,40.666666666666664,8.873534737351882,14.513768270880014,2.530132653155499
2001,MCPR,331.09294444444447,27.35803222386077,0.5528326653794609,34.425925925925924,8.028668837332281,12.728529665700695,2.6432627915170985
2001,INPR,215.08358333333334,9.33891949967265,0.5377589406004475,29.25,6.373971821139367,10.002739372547554,2.436611681526022
2002,INPR,832.7124444444445,27.15651904795387,0.547634744671472,28,6.703865895568828,10.120013410680833,2.368492119530514
2002,HRRF,501.59707547169813,49.38931554618407,0.6021098269745435,43.528301886792455,10.27584037935454,16.281909120526045,2.744848917131021
2002,FDLR,321.2222777777778,23.761909438894172,0.543811102660699,38.666666666666664,8.136529082137592,13.897821578541361,2.599323378756793
2002,FMLR,280.92419553072625,25.486986144466595,0.5458377128239978,36.43016759776536,7.499823320383326,12.783413057885694,2.3562411621704205
2002,OFPR,233.72916666666666,20.25032129437612,0.6205822861758744,35.75,9.623467146610334,15.579524851343349,2.6201071468476407
2002,FSLR,212.7698947368421,10.958693989822212,0.6184438164630947,28.210526315789473,7.888728481298821,12.180907788385335,2.20459269335347
2002,MCPR,207.63577777777778,12.081135502244408,0.6113043318012069,31.955555555555556,8.893665141853353,13.940992465004086,2.6801877451076086
2003,OFPR,587.2999333333333,33.765530187918465,0.6073008454302465,33.733333333333334,9.116071093189895,13.864462945041458,2.459363299892146
2003,HRRF,446.45337288135596,53.12975396896921,0.5521286102240087,46.355932203389834,9.064021730944813,15.266184397542347,2.7280118220534386
2003,FMLR,395.26174285714285,17.902226897319835,0.549615269561288,38.042857142857144,7.797993816495749,13.173419366110043,2.4269185772596455
2003,FDLR,365.6923076923077,10.22883808371468,0.52886047544849,44.38461538461539,7.810734131387236,13.913584454578265,3.045141634234418
2003,MCPR,342.74242424242425,12.400265031905539,0.5534974079615144,30.242424242424242,7.216235573964572,11.148586211631889,2.5149331561503194
2003,FSLR,333.61384375,15.189583202292106,0.5784359451124791,36.53125,8.41148788879254,13.271592663497808,2.4970390352704777
2003,INPR,209.25,23.59524939375878,0.5800376267291592,25.4,6.466276644247105,9.815603362707469,2.4345015161202017
2004,MCPR,677.1363636363636,6.719064579278528,0.5496685964441055,31.272727272727273,7.7408071323157195,12.503609464917167,2.622872671469996
2004,FMLR,504.530303030303,26.404929873867633,0.5553748758343989,42.09090909090909,8.579719026764902,14.23972416995044,2.6525442869997065
2004,HRRF,499.48216666666667,40.54623576561099,0.5852407337682324,51.07142857142857,10.551328637630261,17.42474323687228,2.9402321590290703
2004,OFPR,391,21.55885987259987,0.5686993624663317,43,8.96490181315768,15.017168696431478,2.784154007575464
2004,FDLR,326.6111111111111,22.392770015732633,0.4943483818235607,42,6.770139565389335,12.800209347694194,3.012406382752624
2004,FSLR,227.58823529411765,12.319066147278187,0.6099193853420858,33.470588235294116,8.348773451099802,13.211851081580976,2.3293270891765028
2004,INPR,114.16666666666667,5.819628170357649,0.6169092512690191,31,8.780887274804867,13.831319021541526,2.830263773632445
2005,FDLR,477.66,20.012303904617994,0.49785709559224317,42,7.410379358911219,13.141436546008029,2.90186778513868
2005,HRRF,442.9255319148936,55.08326883810627,0.5536166674203986,46.276595744680854,8.858770293117212,15.303455997518588,2.775143681310126
2005,OFPR,311.2,11.08757410339718,0.6343804691046047,35,9.674316332117826,14.573153858672368,2.71943498310691
2005,FMLR,302.90617283950616,14.378566198968205,0.5709529734393619,35.074074074074076,8.031067037710235,12.9558261951136,2.4069957909269095
2005,FSLR,268.140625,12.08475700891338,0.6059681874133811,29.0625,8.262246183472675,12.331681045895492,2.317581094429716
2005,MCPR,225.29844186046512,9.438080570662434,0.6189770770292325,29.674418604651162,8.59009048567294,13.01980017911047,2.7346285959436827
2005,INPR,181.875,5.354584678229231,0.626282439966037,23.625,6.108988649685583,9.028261725020506,2.5332833779840764
2006,FDLR,524.2954545454545,11.97852595239527,0.39622259224433737,40.18181818181818,5.862105634907987,10.285164210339339,2.540926732820007
2006,HRRF,362.45588235294116,20.07114676051051,0.5958654870847911,42.294117647058826,9.870477884934488,16.01236778222183,2.7256679099979317
2006,FMLR,320.1362260869565,11.04770243214067,0.54579510260493,35.62608695652174,7.629985262662295,12.681629403889701,2.4210427540264865
2006,OFPR,296.80624,17.40041280592518,0.5843741795237217,35.32,8.992143897480712,13.986186994582967,2.713447214031983
2006,INPR,275,17.788860715075874,0.5918023166249264,33.333333333333336,8.063184144679505,12.9059722957206,2.636859215304684
2006,FSLR,244.34615384615384,6.214603439963023,0.5873514450455352,26.73076923076923,7.330063791587001,11.04854332282008,2.2167638360180217
2006,MCPR,213.07474,9.778282517233684,0.5917111615577255,32.32,8.12353576069178,13.044899072241321,2.6969246318402482
2007,FDLR,618.90625,30.906066352691788,0.48709691972500296,46.041666666666664,6.9375757400291835,11.937207419716229,2.8355880875329693
2007,HRRF,503.29704166666664,35.17411607888579,0.5668837975990781,49.5,9.581074395305277,16.160863238491213,2.806726575050869
2007,OFPR,329.5486111111111,21.198197434346397,0.6018762995929582,44.27777777777778,10.340397018475006,16.57161234783794,2.976422655500764
2007,FMLR,317.14596774193546,11.644910078571026,0.5656540697566703,40.63709677419355,8.529991473507867,14.192549761117501,2.550076584069952
2007,FSLR,282.9189189189189,9.184821512089728,0.5777398393629549,33.270270270270274,7.919202833799889,12.214582780739645,2.2527001628164496
2007,MCPR,246.29330357142857,16.852388074050847,0.6277922755533586,35.625,9.612814713062818,14.91588889897712,2.8488531932131864
2007,INPR,173.9,13.883973260255134,0.6670167257638627,30.6,10.373794928403967,14.937998655469542,2.786875356981708
2008,FDLR,496.0217391304348,17.700629104337793,0.5064275738068673,48.17391304347826,7.265885314388375,13.897511211817365,3.0948495380197842
2008,HRRF,447.1210227272727,31.47890995195278,0.5591936267342619,47.79545454545455,9.236894145396178,15.7009187658849,2.7002508130506606
