YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,ANI SURI,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,ANI VIRG,0.27293823733518396,0.016942363826755236,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE ALBU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE AURO,4.711589174184594,8.57591888973443,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE CARB,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE CHRY,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE FLAV,0.3393476752255379,0.03754405179302945,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE MACR,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE MELA,0.8570437196391396,0.3446695457838254,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE PARR,0.03747397640527412,0.0014041840186873214,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE PLUM,2.3139486467730745,0.1992232627136564,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE SCIU,0.37942401110340046,0.05882137130181112,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE SPE.,6.1663775156141565,37.92287825860228,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE STRI,1.7050659264399726,1.757243308338363,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,ANI SURI,0.001492019430950729,2.2215477006345895e-6,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,ANI VIRG,6.900225537820957,46.915451014676776,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE ALBU,0.053157529493407366,0.0018412543532352022,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE AURO,10.531106870229008,68.45456870809875,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE CARB,1.9954892435808467,3.9553862087659764,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE CHRY,0.07460097154753643,0.005553869251586473,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE FLAV,0.5123351839000695,0.10181195433357579,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE MACR,4.040249826509369,16.10468901130437,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE MELA,7.460097154753645e-4,5.553869251586474e-7,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE PARR,0.5442227619708536,0.29371589313980484,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE PLUM,3.8123351839000694,2.232828568078725,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE SCIU,0.40274115197779325,0.14611315360936727,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE SPE.,0.07460097154753643,0.005553869251586473,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE STRI,0.0,0.0,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,ANI SURI,0.0012418276781474853,1.6622654820950927e-6,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,ANI VIRG,0.06358888198984625,0.0011442064057381725,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE ALBU,0.012089557690200519,1.1879319055724639e-4,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE AURO,9.958357175613102,16.808618496180436,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE CARB,0.003104569195368713,1.038915926309433e-5,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE CHRY,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE FLAV,0.32561655120915867,0.012944468941329597,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE MACR,0.006836139620390323,2.9625106116274888e-5,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE MELA,3.933061024061426,10.731094276896064,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE PARR,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE PLUM,2.5485286776970186,0.768692448792851,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE SCIU,0.06267577340297309,0.0016475062877067057,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE SPE.,3.13703730758773,3.95316405113367,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE STRI,1.627159501807955,2.654840829018228,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,ANI SURI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,ANI VIRG,0.0621559102475133,8.287995789791783e-4,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE ALBU,0.06442285449919037,0.0032318987849884184,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE AURO,48.90342354846172,236.38603628035432,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE CARB,0.024635669673837613,6.170040193286406e-4,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE CHRY,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE FLAV,1.7263705759888968,2.155347534873757,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE MACR,0.034004163775156145,6.845102319915046e-4,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE MELA,0.11600740226694425,0.005130275841365594,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE PARR,0.07390700902151284,0.005553036173957766,35,68,1398.0,316442.46818484575,0
